__run_id,__done,model,method,length,topic,execution_time,%cpu_usage,%gpu_usage,%memory_usage,codecarbon__energy_consumed,energy_consumed(J)
run_32_repetition_9,DONE,qwen2:7b,local,1000,World War I,49.812157,3.151,95.507,73.341,0.0001414828239,509.3381659
run_34_repetition_27,DONE,qwen2:7b,remote,500,Elvis Presley,15.413524,2.888,0.196,51.1,1.52E-05,5.46E+01
run_10_repetition_17,DONE,gemma:2b,remote,500,John F. Kennedy,9.873243,5.033,0.448,55.267,5.80E-06,2.09E+01
run_21_repetition_14,DONE,phi3:3.8b,remote,100,Tom Brady,9.877062,10.767,0.459,52.367,5.80E-06,2.09E+01
run_4_repetition_11,DONE,llama3.1:8b,remote,500,Adolf Hitler,15.385836,4.588,0.225,53.2,1.51E-05,5.43E+01
run_41_repetition_10,DONE,mistral:7b,remote,1000,William Shakespeare,14.300526,6.814,0.091,52.629,1.32E-05,4.76E+01
run_6_repetition_27,DONE,gemma:2b,local,100,LeBron James,9.887016,10.333,100,64.033,5.81E-06,2.09E+01
run_26_repetition_6,DONE,qwen2:1.5b,local,1000,Tom Cruise,31.991349,4.083,97.08,63.296,8.00E-05,2.88E+02
run_32_repetition_26,DONE,qwen2:7b,local,1000,Pablo Escobar,45.386965,4.06,90.504,73.6,0.0001335996604,480.9587776
run_12_repetition_4,DONE,gemma:7b,local,100,World War I,16.577776,3.589,93.144,77.856,1.73E-05,6.22E+01
run_29_repetition_22,DONE,qwen2:1.5b,remote,1000,How I Met Your Mother,11.995291,4.24,0.228,54.9,9.50E-06,3.42E+01
run_37_repetition_25,DONE,mistral:7b,local,500,Vietnam War,42.041176,3.338,98.491,72.091,0.0001244171769,447.9018368
run_36_repetition_5,DONE,mistral:7b,local,100,Adolf Hitler,16.582584,2.711,86.127,74.744,1.69E-05,6.10E+01
run_13_repetition_12,DONE,gemma:7b,local,500,Bruce Lee,39.846774,3.593,87.488,84.773,0.0001446446304,520.7206693
run_22_repetition_2,DONE,phi3:3.8b,remote,500,Chernobyl disaster,14.341256,2.857,0.278,76.343,1.33E-05,4.78E+01
run_23_repetition_8,DONE,phi3:3.8b,remote,1000,Bill Gates,18.74021,14.645,0.215,57.282,2.08E-05,7.47E+01
run_23_repetition_28,DONE,phi3:3.8b,remote,1000,Eminem,24.245602,3,0.208,53.2,5.51E-05,1.98E+02
run_27_repetition_1,DONE,qwen2:1.5b,remote,100,Israel,8.781825,8.6,0.848,70.4,3.98E-06,1.43E+01
run_14_repetition_6,DONE,gemma:7b,local,1000,Abraham Lincoln,42.064943,20.991,92.393,85.331,0.0001298838765,467.5819554
run_2_repetition_20,DONE,llama3.1:8b,local,1000,Academy Awards,56.364539,3.973,91.212,72.522,0.0001652213203,594.7967532
run_15_repetition_15,DONE,gemma:7b,remote,100,Queen Victoria,8.704974,12.65,0.732,55.65,3.94E-06,1.42E+01
run_5_repetition_17,DONE,llama3.1:8b,remote,1000,Abraham Lincoln,22.100727,3.286,0.246,64.986,5.15E-05,1.85E+02
run_16_repetition_24,DONE,gemma:7b,remote,500,New York City,14.312725,3.371,0.226,59.071,1.33E-05,4.80E+01
run_19_repetition_16,DONE,phi3:3.8b,local,500,Eminem,60.901479,3.818,100,67.845,0.0001700197459,612.0710854
run_5_repetition_28,DONE,llama3.1:8b,remote,1000,Mark Zuckerberg,19.751157,2.658,0.185,53.142,2.26E-05,8.13E+01
run_39_repetition_2,DONE,mistral:7b,remote,100,Barack Obama,9.875277,5.167,0.473,54.9,5.83E-06,2.10E+01
run_11_repetition_15,DONE,gemma:2b,remote,1000,Japan,12.110653,6.24,0.355,69.94,9.52E-06,3.43E+01
run_8_repetition_14,DONE,gemma:2b,local,1000,Kobe Bryant,20.990096,3.408,91.294,65.5,2.46E-05,8.85E+01
run_2_repetition_11,DONE,llama3.1:8b,local,1000,New York City,77.516076,2.997,98.717,73.148,0.0002367191056,852.1887801
run_24_repetition_1,DONE,qwen2:1.5b,local,100,India,15.469566,4.588,84.12,62.925,1.51E-05,5.45E+01
run_30_repetition_24,DONE,qwen2:7b,local,100,Elizabeth II,17.656385,2.92,69.169,69.64,1.92E-05,6.92E+01
run_8_repetition_18,DONE,gemma:2b,local,1000,Pablo Escobar,17.569263,2.43,99.45,63.76,1.90E-05,6.84E+01
run_27_repetition_18,DONE,qwen2:1.5b,remote,100,Adolf Hitler,7.717391,16,0.743,74.9,2.11E-06,7.59E+00
run_25_repetition_13,DONE,qwen2:1.5b,local,500,Star Wars,15.430669,3.887,89.636,56.85,1.52E-05,5.47E+01
run_17_repetition_19,DONE,gemma:7b,remote,1000,Kobe Bryant,14.282346,3.214,0.209,60.129,1.33E-05,4.78E+01
run_13_repetition_1,DONE,gemma:7b,local,500,Chernobyl disaster,38.690654,3.479,85.167,74.393,0.0001132224647,407.600873
run_2_repetition_23,DONE,llama3.1:8b,local,1000,Charles III,64.259812,2.892,93.141,75.613,0.0001886565543,679.1635956
run_5_repetition_5,DONE,llama3.1:8b,remote,1000,Ted Bundy,17.541038,3.35,0.138,53.49,1.89E-05,6.81E+01
run_37_repetition_27,DONE,mistral:7b,local,500,Singapore,38.76532,3.269,88.702,74.3,0.0001098135794,395.3288857
run_21_repetition_13,DONE,phi3:3.8b,remote,100,Pablo Escobar,8.760708,14.5,0.789,52.8,3.94E-06,1.42E+01
run_35_repetition_18,DONE,qwen2:7b,remote,1000,"Princess Margaret, Countess of Snowdon",14.299986,3.971,0.195,55.014,1.33E-05,4.78E+01
run_3_repetition_26,DONE,llama3.1:8b,remote,100,Michael Jackson,8.761677,7.55,0.751,56.8,3.94E-06,1.42E+01
run_10_repetition_9,DONE,gemma:2b,remote,500,Rihanna,9.928289,9.3,0.542,47,5.79E-06,2.09E+01
run_15_repetition_25,DONE,gemma:7b,remote,100,Muhammad Ali,8.787523,7.55,0.348,65.2,3.96E-06,1.43E+01
run_11_repetition_17,DONE,gemma:2b,remote,1000,Jay-Z,10.944429,11.15,0.513,58.2,7.95E-06,2.86E+01
run_0_repetition_18,DONE,llama3.1:8b,local,100,United States,17.627322,3.57,64.58,71.34,1.92E-05,6.92E+01
run_10_repetition_29,DONE,gemma:2b,remote,500,September 11 attacks,9.88958,5.767,2.855,64.033,5.83E-06,2.10E+01
run_32_repetition_24,DONE,qwen2:7b,local,1000,Charles III,38.709231,3.921,90.7,71.569,0.0001128560353,406.2817271
run_0_repetition_3,DONE,llama3.1:8b,local,100,Jay-Z,15.443269,6.188,96.626,76.462,1.55E-05,5.58E+01
run_21_repetition_17,DONE,phi3:3.8b,remote,100,Lionel Messi,8.773514,7,0.802,63,3.96E-06,1.43E+01
run_15_repetition_16,DONE,gemma:7b,remote,100,Angelina Jolie,7.630433,14.6,1.213,55.4,2.09E-06,7.52E+00
run_20_repetition_17,DONE,phi3:3.8b,local,1000,Charles Manson,52.080458,2.893,94.312,76.222,0.000149227062,537.2174232
run_24_repetition_22,DONE,qwen2:1.5b,local,100,List of presidents of the United States,7.701777,14.6,69.851,62.8,2.10E-06,7.56E+00
run_29_repetition_16,DONE,qwen2:1.5b,remote,1000,Barack Obama,9.855043,6.067,0.595,53.267,5.82E-06,2.09E+01
run_37_repetition_7,DONE,mistral:7b,local,500,Kim Kardashian,43.154207,3.309,95.192,75.2,0.0001250177053,450.0637392
run_7_repetition_7,DONE,gemma:2b,local,500,Mark Zuckerberg,17.690991,3.44,94.338,65.16,1.90E-05,6.84E+01
run_17_repetition_22,DONE,gemma:7b,remote,1000,Japan,14.298798,6.429,0.063,53.314,1.33E-05,4.78E+01
run_5_repetition_7,DONE,llama3.1:8b,remote,1000,Michael Jackson,18.696909,2.791,0.196,57.8,2.07E-05,7.46E+01
run_11_repetition_26,DONE,gemma:2b,remote,1000,Keanu Reeves,9.849776,9.1,0.698,59.467,5.85E-06,2.11E+01
run_19_repetition_9,DONE,phi3:3.8b,local,500,Queen Victoria,39.782343,4.75,94.025,75.293,0.0001085922842,390.9322232
run_41_repetition_25,DONE,mistral:7b,remote,1000,Chernobyl disaster,16.501239,3.567,0.151,55.811,1.70E-05,6.12E+01
run_16_repetition_18,DONE,gemma:7b,remote,500,Kim Kardashian,14.326906,3.314,0.19,46.514,1.33E-05,4.78E+01
run_14_repetition_13,DONE,gemma:7b,local,1000,Kobe Bryant,42.004938,3.609,86.491,75.788,0.0001301147387,468.4130593
run_21_repetition_10,DONE,phi3:3.8b,remote,100,Australia,8.715654,11,0.747,58.15,3.97E-06,1.43E+01
run_1_repetition_8,DONE,llama3.1:8b,local,500,United States,43.143522,3.255,98.127,76.291,0.0001283399637,462.0238693
run_38_repetition_26,DONE,mistral:7b,local,1000,The Walking Dead (TV series),35.386759,2.558,97.883,74.958,8.87E-05,3.19E+02
run_25_repetition_24,DONE,qwen2:1.5b,local,500,The Big Bang Theory,15.477621,5.075,83.159,62.838,1.52E-05,5.46E+01
run_31_repetition_11,DONE,qwen2:7b,local,500,Ryan Reynolds,37.683865,2.546,97.861,71.839,0.0001102819933,397.0151758
run_27_repetition_10,DONE,qwen2:1.5b,remote,100,John F. Kennedy,7.651553,13.4,0.636,55.3,2.09E-06,7.54E+00
run_16_repetition_29,DONE,gemma:7b,remote,500,List of presidents of the United States,14.295372,3.371,0.263,61.786,1.33E-05,4.78E+01
run_34_repetition_17,DONE,qwen2:7b,remote,500,Kobe Bryant,14.287003,2.943,0.234,60.843,1.33E-05,4.78E+01
run_31_repetition_8,DONE,qwen2:7b,local,500,Justin Bieber,37.627802,2.457,98.918,73.55,0.0001107902599,398.8449356
run_41_repetition_8,DONE,mistral:7b,remote,1000,Albert Einstein,14.211233,5.429,0.185,57.157,1.33E-05,4.77E+01
run_21_repetition_20,DONE,phi3:3.8b,remote,100,Jeffrey Dahmer,8.782516,8.6,0.675,55.65,3.98E-06,1.43E+01
run_19_repetition_19,DONE,phi3:3.8b,local,500,Lady Gaga,49.795481,3.795,99.246,64.738,0.0001307434708,470.676495
run_17_repetition_26,DONE,gemma:7b,remote,1000,Bruce Lee,15.353338,3.1,0.169,51.7,1.51E-05,5.44E+01
run_8_repetition_12,DONE,gemma:2b,local,1000,Arnold Schwarzenegger,18.739615,3.609,86.99,65.127,2.08E-05,7.49E+01
run_28_repetition_10,DONE,qwen2:1.5b,remote,500,World War I,9.867976,34.8,0.469,53.7,6.01E-06,2.16E+01
run_39_repetition_12,DONE,mistral:7b,remote,100,Lionel Messi,8.76483,47.9,0.755,54.9,4.15E-06,1.49E+01
run_16_repetition_28,DONE,gemma:7b,remote,500,Ariana Grande,13.164154,7.2,0.209,53.967,1.14E-05,4.09E+01
run_14_repetition_5,DONE,gemma:7b,local,1000,Marilyn Monroe,39.842783,3.07,87.786,76.757,0.0001154968505,415.7886618
run_18_repetition_9,DONE,phi3:3.8b,local,100,Canada,16.563879,3.811,77.567,73.311,1.70E-05,6.12E+01
run_35_repetition_27,DONE,qwen2:7b,remote,1000,India,18.624164,2.655,0.204,49.864,2.07E-05,7.46E+01
run_16_repetition_1,DONE,gemma:7b,remote,500,Bill Gates,14.360729,3.329,0.238,55.014,1.32E-05,4.77E+01
run_11_repetition_28,DONE,gemma:2b,remote,1000,Charles III,8.770433,9.05,0.737,56.65,3.97E-06,1.43E+01
run_21_repetition_24,DONE,phi3:3.8b,remote,100,World War II,8.76662,8,0.637,57.5,3.96E-06,1.42E+01
run_5_repetition_29,DONE,llama3.1:8b,remote,1000,Charles Manson,19.83373,3.508,0.181,57.825,2.26E-05,8.14E+01
run_15_repetition_7,DONE,gemma:7b,remote,100,United Kingdom,9.821093,6.5,0.616,57.167,5.82E-06,2.10E+01
run_15_repetition_18,DONE,gemma:7b,remote,100,LeBron James,8.752516,7.6,0.76,57.6,3.96E-06,1.43E+01
run_9_repetition_4,DONE,gemma:2b,remote,100,Breaking Bad,7.624231,16,1.359,55.9,2.10E-06,7.57E+00
run_28_repetition_9,DONE,qwen2:1.5b,remote,500,India,10.966887,7.65,0.345,52.35,7.69E-06,2.77E+01
run_34_repetition_4,DONE,qwen2:7b,remote,500,The Walking Dead (TV series),15.401963,3.175,0.197,56.312,1.51E-05,5.43E+01
run_14_repetition_19,DONE,gemma:7b,local,1000,Charles III,40.938752,2.752,86.894,84.774,0.0001432770508,515.7973828
run_6_repetition_7,DONE,gemma:2b,local,100,Lionel Messi,11.000299,5.25,66.428,61.375,7.73E-06,2.78E+01
run_40_repetition_1,DONE,mistral:7b,remote,500,Russia,14.292106,3.671,0.184,55.714,1.33E-05,4.78E+01
run_26_repetition_14,DONE,qwen2:1.5b,local,1000,Dwayne Johnson,14.323634,4.057,99.845,61.214,1.33E-05,4.80E+01
run_19_repetition_4,DONE,phi3:3.8b,local,500,Harry Potter,37.656113,3.411,99.532,64.679,0.0001052837787,379.0216034
run_40_repetition_10,DONE,mistral:7b,remote,500,Ted Bundy,14.325372,8.543,0.131,46.5,1.32E-05,4.76E+01
run_17_repetition_3,DONE,gemma:7b,remote,1000,Elon Musk,14.279991,5.114,0.216,61.929,1.32E-05,4.77E+01
run_22_repetition_23,DONE,phi3:3.8b,remote,500,Justin Bieber,13.12082,5.767,0.232,54.1,1.14E-05,4.10E+01
run_26_repetition_12,DONE,qwen2:1.5b,local,1000,World War I,22.137678,3.843,94.402,63.029,5.16E-05,1.86E+02
run_6_repetition_19,DONE,gemma:2b,local,100,Singapore,10.996507,6.8,55.048,64.625,7.69E-06,2.77E+01
run_13_repetition_0,DONE,gemma:7b,local,500,Harry Potter,32.105936,2.526,97.419,85.557,0.0002156044823,776.1761363
run_2_repetition_15,DONE,llama3.1:8b,local,1000,Joe Biden,70.860048,3.197,95.982,75.976,0.0002045502749,736.3809897
run_37_repetition_16,DONE,mistral:7b,local,500,Japan,48.704706,20.303,93.054,74.976,0.0001368422807,492.6322107
run_31_repetition_29,DONE,qwen2:7b,local,500,Germany,43.156679,3.727,91.124,73.103,0.0001292544791,465.3161249
run_24_repetition_26,DONE,qwen2:1.5b,local,100,Jeffrey Dahmer,8.82832,12.05,59.338,63.3,3.98E-06,1.43E+01
run_27_repetition_14,DONE,qwen2:1.5b,remote,100,Donald Trump,7.623668,18.1,0.724,46.8,2.09E-06,7.53E+00
run_38_repetition_5,DONE,mistral:7b,local,1000,Jay-Z,49.805004,16.159,97.603,71.333,0.0001376681465,495.6053275
run_2_repetition_1,DONE,llama3.1:8b,local,1000,Abraham Lincoln,62.056461,3.938,95.671,76.3,0.0001850187321,666.0674355
run_25_repetition_17,DONE,qwen2:1.5b,local,500,Queen Victoria,15.410434,4.325,92.308,63.113,1.52E-05,5.47E+01
run_35_repetition_22,DONE,qwen2:7b,remote,1000,Jennifer Aniston,16.415921,4.644,0.144,57,1.70E-05,6.13E+01
run_11_repetition_13,DONE,gemma:2b,remote,1000,The Walking Dead (TV series),11.001107,4.4,0.343,54.925,7.70E-06,2.77E+01
run_15_repetition_11,DONE,gemma:7b,remote,100,Queen Victoria,9.889418,5.733,0.606,62.567,5.89E-06,2.12E+01
run_38_repetition_3,DONE,mistral:7b,local,1000,Breaking Bad,43.186941,3.394,91.733,74.836,0.0001247460692,449.0858493
run_25_repetition_10,DONE,qwen2:1.5b,local,500,Dwayne Johnson,13.257304,29.233,83.793,62.983,1.17E-05,4.23E+01
run_17_repetition_27,DONE,gemma:7b,remote,1000,Muhammad Ali,13.199697,5.967,0.258,55.817,1.14E-05,4.12E+01
run_37_repetition_1,DONE,mistral:7b,local,500,Michael Jackson,38.77149,2.476,91.206,74.445,0.0001095450246,394.3620887
run_18_repetition_17,DONE,phi3:3.8b,local,100,Will Smith,14.37889,4.043,64.744,73.314,1.33E-05,4.79E+01
run_19_repetition_8,DONE,phi3:3.8b,local,500,France,52.005613,3.066,95.196,75.329,0.0001501670854,540.6015074
run_27_repetition_0,DONE,qwen2:1.5b,remote,100,Vietnam War,7.616154,16,0.744,57.1,2.11E-06,7.58E+00
run_10_repetition_19,DONE,gemma:2b,remote,500,Miley Cyrus,9.795662,18.333,0.428,58.733,6.33E-06,2.28E+01
run_26_repetition_7,DONE,qwen2:1.5b,local,1000,"Diana, Princess of Wales",18.766377,2.782,87.615,61.173,2.07E-05,7.46E+01
run_14_repetition_2,DONE,gemma:7b,local,1000,Tom Brady,40.887518,3.074,85.064,84.587,0.0001035536883,372.7932778
run_11_repetition_20,DONE,gemma:2b,remote,1000,Angelina Jolie,9.863176,10.933,0.151,53.533,5.82E-06,2.09E+01
run_24_repetition_28,DONE,qwen2:1.5b,local,100,Chernobyl disaster,9.898038,8.067,80.306,62.2,5.82E-06,2.09E+01
run_28_repetition_17,DONE,qwen2:1.5b,remote,500,Will Smith,8.783304,7.95,0.918,59.2,3.97E-06,1.43E+01
run_24_repetition_13,DONE,qwen2:1.5b,local,100,Rihanna,10.909724,12.15,73.301,61.875,7.69E-06,2.77E+01
run_4_repetition_13,DONE,llama3.1:8b,remote,500,Marilyn Monroe,14.344286,6.471,0.184,58.529,1.33E-05,4.78E+01
run_32_repetition_22,DONE,qwen2:7b,local,1000,Arnold Schwarzenegger,51.988146,2.193,93.097,71.988,0.0001607957882,578.8648377
