__run_id,__done,model,method,prompt,size,response,execution_time,cpu_usage,memory_usage
run_52_repetition_0,DONE,llama2-13b,local,p7,short,,,,
run_34_repetition_0,DONE,Llama2-7b,remote,p8,short,,,,
run_0_repetition_0,DONE,Llama2-7b,local,p1,short,,,,
run_27_repetition_0,DONE,Llama2-7b,remote,p4,long,,,,
run_4_repetition_0,DONE,Llama2-7b,local,p3,short,,,,
run_2_repetition_0,DONE,Llama2-7b,local,p2,short,,,,
run_7_repetition_0,DONE,Llama2-7b,local,p4,long,,,,
run_40_repetition_0,DONE,llama2-13b,local,p1,short,,,,
run_23_repetition_0,DONE,Llama2-7b,remote,p2,long,,,,
run_43_repetition_0,DONE,llama2-13b,local,p2,long,,,,
run_44_repetition_0,DONE,llama2-13b,local,p3,short,,,,
run_14_repetition_0,DONE,Llama2-7b,local,p8,short,,,,
run_13_repetition_0,DONE,Llama2-7b,local,p7,long,,,,
run_31_repetition_0,DONE,Llama2-7b,remote,p6,long,,,,
run_75_repetition_0,DONE,llama2-13b,remote,p8,long,,,,
run_6_repetition_0,DONE,Llama2-7b,local,p4,short,,,,
run_33_repetition_0,DONE,Llama2-7b,remote,p7,long,,,,
run_8_repetition_0,DONE,Llama2-7b,local,p5,short,,,,
run_35_repetition_0,DONE,Llama2-7b,remote,p8,long,,,,
run_3_repetition_0,DONE,Llama2-7b,local,p2,long,,,,
run_74_repetition_0,DONE,llama2-13b,remote,p8,short,,,,
run_72_repetition_0,DONE,llama2-13b,remote,p7,short,,,,
run_79_repetition_0,DONE,llama2-13b,remote,p10,long,,,,
run_28_repetition_0,DONE,Llama2-7b,remote,p5,short,,,,
run_9_repetition_0,DONE,Llama2-7b,local,p5,long,,,,
run_62_repetition_0,DONE,llama2-13b,remote,p2,short,,,,
run_78_repetition_0,DONE,llama2-13b,remote,p10,short,,,,
run_20_repetition_0,DONE,Llama2-7b,remote,p1,short,,,,
run_53_repetition_0,DONE,llama2-13b,local,p7,long,,,,
run_61_repetition_0,DONE,llama2-13b,remote,p1,long,,,,
run_18_repetition_0,DONE,Llama2-7b,local,p10,short,,,,
run_37_repetition_0,DONE,Llama2-7b,remote,p9,long,,,,
run_59_repetition_0,DONE,llama2-13b,local,p10,long,,,,
run_68_repetition_0,DONE,llama2-13b,remote,p5,short,,,,
run_16_repetition_0,DONE,Llama2-7b,local,p9,short,,,,
run_41_repetition_0,DONE,llama2-13b,local,p1,long,,,,
run_32_repetition_0,DONE,Llama2-7b,remote,p7,short,,,,
run_46_repetition_0,DONE,llama2-13b,local,p4,short,,,,
run_49_repetition_0,DONE,llama2-13b,local,p5,long,,,,
run_15_repetition_0,DONE,Llama2-7b,local,p8,long,,,,
run_45_repetition_0,DONE,llama2-13b,local,p3,long,,,,
run_55_repetition_0,DONE,llama2-13b,local,p8,long,,,,
run_56_repetition_0,DONE,llama2-13b,local,p9,short,,,,
run_73_repetition_0,DONE,llama2-13b,remote,p7,long,,,,
run_54_repetition_0,DONE,llama2-13b,local,p8,short,,,,
run_70_repetition_0,DONE,llama2-13b,remote,p6,short,,,,
run_63_repetition_0,DONE,llama2-13b,remote,p2,long,,,,
run_42_repetition_0,DONE,llama2-13b,local,p2,short,,,,
run_76_repetition_0,DONE,llama2-13b,remote,p9,short,,,,
run_64_repetition_0,DONE,llama2-13b,remote,p3,short,,,,
run_77_repetition_0,DONE,llama2-13b,remote,p9,long,,,,
run_39_repetition_0,DONE,Llama2-7b,remote,p10,long,,,,
run_51_repetition_0,DONE,llama2-13b,local,p6,long,,,,
run_10_repetition_0,DONE,Llama2-7b,local,p6,short,,,,
run_58_repetition_0,DONE,llama2-13b,local,p10,short,,,,
run_22_repetition_0,DONE,Llama2-7b,remote,p2,short,,,,
run_48_repetition_0,DONE,llama2-13b,local,p5,short,,,,
run_71_repetition_0,DONE,llama2-13b,remote,p6,long,,,,
run_57_repetition_0,DONE,llama2-13b,local,p9,long,,,,
run_29_repetition_0,DONE,Llama2-7b,remote,p5,long,,,,
run_21_repetition_0,DONE,Llama2-7b,remote,p1,long,,,,
run_66_repetition_0,DONE,llama2-13b,remote,p4,short,,,,
run_19_repetition_0,DONE,Llama2-7b,local,p10,long,,,,
run_17_repetition_0,DONE,Llama2-7b,local,p9,long,,,,
run_24_repetition_0,DONE,Llama2-7b,remote,p3,short,,,,
run_1_repetition_0,DONE,Llama2-7b,local,p1,long,,,,
run_67_repetition_0,DONE,llama2-13b,remote,p4,long,,,,
run_26_repetition_0,DONE,Llama2-7b,remote,p4,short,,,,
run_12_repetition_0,DONE,Llama2-7b,local,p7,short,,,,
run_65_repetition_0,DONE,llama2-13b,remote,p3,long,,,,
run_25_repetition_0,DONE,Llama2-7b,remote,p3,long,,,,
run_60_repetition_0,DONE,llama2-13b,remote,p1,short,,,,
run_30_repetition_0,DONE,Llama2-7b,remote,p6,short,,,,
run_47_repetition_0,DONE,llama2-13b,local,p4,long,,,,
run_5_repetition_0,DONE,Llama2-7b,local,p3,long,,,,
run_38_repetition_0,DONE,Llama2-7b,remote,p10,short,,,,
run_69_repetition_0,DONE,llama2-13b,remote,p5,long,,,,
run_50_repetition_0,DONE,llama2-13b,local,p6,short,,,,
run_11_repetition_0,DONE,Llama2-7b,local,p6,long,,,,
run_36_repetition_0,DONE,Llama2-7b,remote,p9,short,,,,
