Rank,Topic,Link,Views_In_Millions
1,United States,https://en.wikipedia.org/wiki/United_States,254
2,Donald Trump,https://en.wikipedia.org/wiki/Donald_Trump,243
3,Elizabeth II,https://en.wikipedia.org/wiki/Elizabeth_II,198
4,India,https://en.wikipedia.org/wiki/India,165
5,Barack Obama,https://en.wikipedia.org/wiki/Barack_Obama,161
6,Cristiano Ronaldo,https://en.wikipedia.org/wiki/Cristiano_Ronaldo,151
7,World War II,https://en.wikipedia.org/wiki/World_War_II,145
8,United Kingdom,https://en.wikipedia.org/wiki/United_Kingdom,144
9,Michael Jackson,https://en.wikipedia.org/wiki/Michael_Jackson,142
10,Elon Musk,https://en.wikipedia.org/wiki/Elon_Musk,135
12,Lady Gaga,https://en.wikipedia.org/wiki/Lady_Gaga,129
12,Adolf Hitler,https://en.wikipedia.org/wiki/Adolf_Hitler,129
14,Eminem,https://en.wikipedia.org/wiki/Eminem,127
15,Lionel Messi,https://en.wikipedia.org/wiki/Lionel_Messi,125
16,Game of Thrones,https://en.wikipedia.org/wiki/Game_of_Thrones,122
17,World War I,https://en.wikipedia.org/wiki/World_War_I,121
18,The Beatles,https://en.wikipedia.org/wiki/The_Beatles,116
19,Justin Bieber,https://en.wikipedia.org/wiki/Justin_Bieber,114
20,Canada,https://en.wikipedia.org/wiki/Canada,113
20,Freddie Mercury,https://en.wikipedia.org/wiki/Freddie_Mercury,113
22,Kim Kardashian,https://en.wikipedia.org/wiki/Kim_Kardashian,111
23,Johnny Depp,https://en.wikipedia.org/wiki/Johnny_Depp,109
24,Steve Jobs,https://en.wikipedia.org/wiki/Steve_Jobs,108
24,Dwayne Johnson,https://en.wikipedia.org/wiki/Dwayne_Johnson,108
26,Michael Jordan,https://en.wikipedia.org/wiki/Michael_Jordan,107
26,Australia,https://en.wikipedia.org/wiki/Australia,107
28,List of presidents of the United States,https://en.wikipedia.org/wiki/List_of_presidents_of_the_United_States,104
29,The Big Bang Theory,https://en.wikipedia.org/wiki/The_Big_Bang_Theory,103
30,Taylor Swift,https://en.wikipedia.org/wiki/Taylor_Swift,102
31,Stephen Hawking,https://en.wikipedia.org/wiki/Stephen_Hawking,101
31,List of highest-grossing films,https://en.wikipedia.org/wiki/List_of_highest-grossing_films,101
33,China,https://en.wikipedia.org/wiki/China,100
34,Russia,https://en.wikipedia.org/wiki/Russia,96
34,New York City,https://en.wikipedia.org/wiki/New_York_City,96
34,Japan,https://en.wikipedia.org/wiki/Japan,96
34,Kanye West,https://en.wikipedia.org/wiki/Kanye_West,96
38,List of Marvel Cinematic Universe films,https://en.wikipedia.org/wiki/List_of_Marvel_Cinematic_Universe_films,95
38,Abraham Lincoln,https://en.wikipedia.org/wiki/Abraham_Lincoln,95
40,LeBron James,https://en.wikipedia.org/wiki/LeBron_James,94
40,Charles III,https://en.wikipedia.org/wiki/Charles_III,94
40,Darth Vader,https://en.wikipedia.org/wiki/Darth_Vader,94
40,Star Wars,https://en.wikipedia.org/wiki/Star_Wars,94
40,Miley Cyrus,https://en.wikipedia.org/wiki/Miley_Cyrus,94
40,Germany,https://en.wikipedia.org/wiki/Germany,94
40,September 11 attacks,https://en.wikipedia.org/wiki/September_11_attacks,94
47,Leonardo DiCaprio,https://en.wikipedia.org/wiki/Leonardo_DiCaprio,93
48,Kobe Bryant,https://en.wikipedia.org/wiki/Kobe_Bryant,92
48,Selena Gomez,https://en.wikipedia.org/wiki/Selena_Gomez,92
50,Joe Biden,https://en.wikipedia.org/wiki/Joe_Biden,91
50,Tom Cruise,https://en.wikipedia.org/wiki/Tom_Cruise,91
50,Rihanna,https://en.wikipedia.org/wiki/Rihanna,91
50,Albert Einstein,https://en.wikipedia.org/wiki/Albert_Einstein,91
50,Academy Awards,https://en.wikipedia.org/wiki/Academy_Awards,91
55,"Prince Philip, Duke of Edinburgh","https://en.wikipedia.org/wiki/Prince_Philip,_Duke_of_Edinburgh",90
55,Harry Potter,https://en.wikipedia.org/wiki/Harry_Potter,90
55,Elvis Presley,https://en.wikipedia.org/wiki/Elvis_Presley,90
55,The Walking Dead (TV series),https://en.wikipedia.org/wiki/The_Walking_Dead_(TV_series),90
59,Scarlett Johansson,https://en.wikipedia.org/wiki/Scarlett_Johansson,89
59,Lil Wayne,https://en.wikipedia.org/wiki/Lil_Wayne,89
59,Tupac Shakur,https://en.wikipedia.org/wiki/Tupac_Shakur,89
59,Angelina Jolie,https://en.wikipedia.org/wiki/Angelina_Jolie,89
63,Queen Victoria,https://en.wikipedia.org/wiki/Queen_Victoria,88
63,Jeffrey Dahmer,https://en.wikipedia.org/wiki/Jeffrey_Dahmer,88
65,John F. Kennedy,https://en.wikipedia.org/wiki/John_F._Kennedy,87
